state,category,amount,date
CA,rec,104476423.9,2018-1
CA,rec,95529905.78,2018-2
CA,rec,98538073.51,2018-3
CA,rec,100790505.1,2018-4
CA,rec,110120519.7,2018-5
CA,rec,161157633.7,2018-6
CA,rec,117148168.5,2018-7
CA,rec,142007629.6,2018-8
CA,rec,143836210.7,2018-9
CA,rec,142142222.9,2018-10
CA,rec,148438109,2018-11
CA,rec,166044750.7,2018-12
CA,rec,161217433.8,2019-1
CA,rec,159571238,2019-2
CA,rec,184625961.1,2019-3
CA,rec,211884481.1,2019-4
CA,rec,229611058.3,2019-5
CA,rec,226584259.1,2019-6
CA,rec,242912707.7,2019-7
CA,rec,264392347.1,2019-8
CA,rec,242085021.6,2019-9
CA,rec,285927024.7,2019-10
CA,rec,286932029.6,2019-11
CA,rec,285960139.5,2019-12
CA,rec,279166326.7,2020-1
CA,rec,285624670.4,2020-2
CA,rec,328827516.1,2020-3
CA,rec,342489232.8,2020-4
CA,rec,389911371.7,2020-5
CA,rec,402690940.3,2020-6
CA,rec,418565048.3,2020-7
CA,rec,434720783.4,2020-8
CA,rec,430067306,2020-9
CA,rec,421592379.3,2020-10
CA,rec,397959945.3,2020-11
CA,rec,424120001.1,2020-12
CA,rec,395884043.9,2021-1
CA,rec,376341663,2021-2
CA,rec,459411977.6,2021-3
CA,rec,475072012.5,2021-4
CA,rec,476073919.2,2021-5
CA,rec,464554691.7,2021-6
CA,rec,474472612.4,2021-7
CA,rec,459229620.9,2021-8
CA,rec,438919672.8,2021-9
CA,rec,444632065.2,2021-10
CA,rec,426009684.7,2021-11
CA,rec,448114380.4,2021-12
CA,rec,427837018.1,2022-1
CA,rec,410532154.1,2022-2
CA,rec,452415633,2022-3
CA,rec,450033370.1,2022-4
CA,rec,436311103.8,2022-5
CA,rec,418558028.1,2022-6
CA,rec,432429765.4,2022-7
CA,rec,414453193.7,2022-8
CA,rec,406573146,2022-9
CA,rec,413869549,2022-10
CA,rec,400370350,2022-11
CA,rec,423126965,2022-12
